"","Jelect","jblogel","jnewspaper","jnatradio","jtalkback","jdiscussp","jrallies","jpersuade","jpcmoney","jpcposter","jlablike","jnatlike","jgrnlike","jnzflike","jactlike","junflike","jmaolike","jmnplike","jmostlike","jmostlikex","jrepublic","jsphealth","jspedu","jspunemp","jspdefence","jspsuper","jspbusind","jsppolice","jspwelfare","jspenviro","jgovpdk","jgovplab","jgovpnat","jgovpgrn","jgovpnzf","jgovpact","jgovunf","jgovpmao","jgovpmnp","jnevervoteno","jnevervotelab","jnevervotenat","jnevervotegrn","jnevervotenzf","jnevervoteact","jnevervoteunf","jnevervotemao","jnevervotemnp","jnevervoteoth","jnevervoteothx","jfirstpx","jsecondp","jage","jlanguage","jlanguagex","jrollsex","jhqual","jwkft","jwkpt","jwkun","jwkret","jwkdis","jwksch","jwkunpo","jwkunpi","jhhincome","jhhadults","jhhchn","jmarital","r_jind","jlablr","jnatlr","jgrnlr","jnzflr","jactlr","junflr","jmaolr","jmnplr","jslflr","jrelservices","jrelnone","jrelang","jrelpres","jrelcath","jrelmeth","jrelbap","jrellat","jrelrat","jrelfun","jrelothc","jrelnonc","jreligionx","jreligiousity","jethnicity_e","jethnicity_m","jethnicity_p","jethnicity_a","jethnicity_o","jethnicityx","jethnicmost","jethnicmostx","jpartyvote","jelecvote","njptyvote","njelecvote","jdiffvoting","X_singlefav"
"455",37,NA,"Often","Not at all","Not at all","Yes, occasionally","No","No","No","No","7","10","7","6","5","4","6","6","National","","Retain Queen as head of state","More","More","Less","Same as now","Same as now","More","More","Same as now","Same as now",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Don't know",68,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”FINANCE,INSURANCE, AND REAL ESTATE”","Centre","9","6","Centre","7","6","8","Centre","Right","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"456",24,NA,"Often",NA,NA,"Yes, rarely","No","No","No","No","0","10","0","0","0","0","0","0","National","","Retain Queen as head of state","More","Same as now","Less","Less","Much more","Same as now","Much more","Don't know","Don't know",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,"Yes, Labour",NA,NA,NA,NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","NZ First",80,"English","",NA,"Incomplete university degree",NA,NA,NA,"Retired",NA,NA,NA,NA,"Don't know",2,NA,"Married, in a civil union or living with a partner","”PUBLIC ADMINISTRATION”","Left","Right","Centre","Centre","Left","Centre","Left","Left","Right","At least once a week",NA,NA,NA,NA,NA,NA,NA,NA,"Independent-Fundamentalist-Pentecostal Church",NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"457",55,NA,"Sometimes","Not at all","Not at all","Yes, occasionally","No","No","No","No","2","9","4","0","1","1","4","Don't know","National","","Retain Queen as head of state","Same as now","Same as now","Less","Same as now","Same as now","Same as now","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,NA,"Yes, another party","LEGALISE CANNABIS","","Labour",41,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",2,3,"Married, in a civil union or living with a partner","”RECREATION”","Left","8","2","2","Centre","4","3","Don't know","8","Never",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"458",35,NA,"Not at all","Not at all","Not at all","Yes, occasionally","No","No","No","No","0","10","5",NA,"5","10","7","4","National","","Retain Queen as head of state","Much more","More","Same as now","Same as now","More","Same as now","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,NA,NA,NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",73,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"Don't know",1,NA,"Widowed","”FINANCE,INSURANCE, AND REAL ESTATE”","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","United Future","National","United Future","Voting can make a big difference to what happens","National"
"459",53,NA,"Sometimes",NA,"Sometimes","Yes, occasionally","No","No","No","No","8","6","6","2","2","2","5","2","Labour","","Retain Queen as head of state","Same as now","More","Same as now","Same as now","Same as now","Same as now","More","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Green",86,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",1,NA,"Widowed","”RECREATION”","Centre","9","4","4","Right",NA,"6","2","4",NA,NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","Labour","Labour","Nonvote","Nonvote","Voting can make a reasonable amount of difference to what happens","Labour"
"460",16,NA,NA,"Often","Sometimes","Yes, rarely","No","No","No","No","3","8","4","5","1","9","5","3","United Future","","Retain Queen as head of state","Much more","More","Much less","Same as now","Same as now","More","Same as now","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,"Yes, Labour",NA,"Yes, Green",NA,"Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","United Future",59,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","Left","8","Left","Centre","Right","7","Centre","Centre","7","Once a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","United Future","National","United Future","National","Voting can make a big difference to what happens","United Future"
"461",56,NA,"Not at all","Not at all","Rarely","Yes, occasionally","No","No","Yes, occasionally","No","2","9","1","0","5","6","4","0","National","","Retain Queen as head of state","More","More","Much less","Same as now","Same as now","Same as now","More","Much less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, Green","Yes, NZ First","Yes, Act",NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Maori Party",73,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","2","8","Left","2","9","Centre","4","Left","8","2-3 times a month",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"462",52,NA,"Often","Sometimes","Sometimes","Yes, frequently",NA,NA,NA,NA,"3","10","3","0","5","6","5","0","National","","Retain Queen as head of state","More","More","Less","Don't know","More","Same as now","More","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Act",55,"English","",NA,"Incomplete university degree","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Married, in a civil union or living with a partner","”PERSONAL SERVICES”","2","8","2","Don't know","8","Centre","4","2","8","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","Nonvote","Nonvote","Voting can make a big difference to what happens","National"
"463",20,NA,"Sometimes","Sometimes","Sometimes","Yes, occasionally","No","No","No","No","5","6","4","4","4","4","4","4","National","","Become a republic with an NZ head of state","More","More","Same as now","More","Same as now","More","Much more","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Labour",54,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,0,"Married, in a civil union or living with a partner","”CONSTRUCTION”","6","7","2","6","7","6","3","2","Centre","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"464",4,NA,"Sometimes","Sometimes","Not at all","Yes, occasionally","No","No","No","No","3","10","3","0","1","6","8","1","National","","Retain Queen as head of state","Less","Same as now","Much less","Much less","Same as now","More","Same as now","Much less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, NZ First",NA,NA,NA,"Yes, Mana Party",NA,"","","Don't know",45,"English","",NA,"UE, Bursary, Higher School or Higher Leaving Certificate","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",2,2,"Married, in a civil union or living with a partner","”CONSTRUCTION”","2","8","Centre","Don't know","9","Centre","Centre","1","8","2-11 times a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"465",13,NA,"Sometimes",NA,NA,"Yes, occasionally","No","No","No","No","4","8","7",NA,NA,NA,NA,NA,"National","","Retain Queen as head of state","More","Much more","Less","Same as now","More","Much less","More","Less","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Labour",58,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ76,100-$NZ110,799",2,NA,"Married, in a civil union or living with a partner","”FINANCE,INSURANCE, AND REAL ESTATE”","4","6","1","8","9","6","Left","Left","Centre","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"466",7,NA,"Sometimes",NA,NA,"Yes, frequently","No","Yes, occasionally","No","No","7","0","10","Don't know","Don't know","Don't know","Don't know","Don't know","Green","","Retain Queen as head of state","Same as now","More","Same as now","Less","Don't know","Less","Don't know","Less","Much more",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, National",NA,NA,NA,NA,NA,NA,NA,"","","Labour",29,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",1,0,"Single, never married","”PUBLIC ADMINISTRATION”","3","9","1","Don't know","Don't know","Don't know","Don't know","Don't know","1","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","Labour","Green","Labour","Green","Voting can make a big difference to what happens","Green"
"467",16,NA,"Often",NA,NA,"Yes, occasionally","No","No","No","No","5","8","6","1","1","1","1","1","National","","Retain Queen as head of state","More","More","More","Same as now","More","Same as now","More","Same as now","Same as now",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,NA,"Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Green",62,"English","",NA,"Secondary education to School Certificate or NCEA",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",1,NA,"Married, in a civil union or living with a partner","”RECREATION”","Don't know","8","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","8","Once a year",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make a big difference to what happens","National"
"468",54,NA,"Often","Often","Often","Yes, occasionally","No","No","No","No","8","8","6","5","7","7","6","0","NZ First","","Become a republic with an NZ head of state","Same as now","Same as now","Less","Less","Same as now","Same as now","More","Less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Mana Party",NA,"","","Labour",69,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Married, in a civil union or living with a partner","”RETAIL TRADE”","4","6","2","Centre","8","4","2","Left","6","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","NZ First","National","NZ First","National","Voting can make a big difference to what happens","Labour"
"469",15,NA,"Not at all","Not at all","Sometimes","Yes, frequently","No","No","No","No","2","10","3","3","1","10","6","Don't know","National","","Don't know","More","More","Much less","Same as now","Same as now","Much less","More","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Mana Party","Yes, another party","HONE - HAWARIRA","","United Future",66,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Widowed","”PUBLIC ADMINISTRATION”","Right","Left","Don't know","Don't know","Don't know","3","Don't know","Don't know","2","2-3 times a month",NA,NA,NA,NA,NA,"Baptist",NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"470",43,NA,"Sometimes","Often","Not at all","Yes, rarely","No","No","No","No","9","0","9","9","1","1","5","5","Labour","","Become a republic with an NZ head of state","Much more","Much more","Same as now","Much less","Same as now","More","Same as now","Less","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Green",64,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",1,NA,"Divorced or separated","”RETAIL TRADE”","6","Left","8","7","1","3","9","Right","7","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","Labour","Green","Labour","Green","Voting can make a big difference to what happens","Labour"
"471",41,NA,"Sometimes","Not at all","Often","Yes, occasionally","No","No","No","No","4","9","6","0","4","6","1","3","National","","Retain Queen as head of state","Same as now","Same as now","Less","Same as now","Same as now","More","Same as now","Less","Less",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,"Yes, Green","Yes, NZ First","Yes, Act",NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Labour",57,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,"Unemployed, laid off, looking for work",NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",2,NA,"Married, in a civil union or living with a partner","”PUBLIC ADMINISTRATION”","4","9","4","Don't know","Right","6","3","3","9","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"472",11,NA,"Often",NA,NA,"Yes, frequently","No","Yes, occasionally","No","No","1","10","6","5","1","6","5","0","National","","Retain Queen as head of state","Much more","Much more","Same as now","Less","Much more","More","Much more","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,"Yes, Labour",NA,NA,NA,"Yes, Act",NA,NA,"Yes, Mana Party",NA,"","","Don't know",62,"English","",NA,"Secondary education to School Certificate or NCEA","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Divorced or separated","”FINANCE,INSURANCE, AND REAL ESTATE”","3","9","3","Centre","8","Centre","Centre","Left","9","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUAKER","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","United Future","National","United Future","Voting can make some difference to what happens","National"
"473",59,NA,"Often","Often",NA,"Yes, frequently","Yes, occasionally","No",NA,"No","8","0","8","0","0","0","5","4","Green","","Become a republic with an NZ head of state","Much more","More","Same as now","Much less","Same as now","Much less","Same as now","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,"Yes, NZ First","Yes, Act","Yes, United Future",NA,NA,NA,"","","Green",67,"English","",NA,"University degree completed",NA,NA,"Unemployed, laid off, looking for work",NA,NA,NA,NA,NA,"$NZ110,800-$NZ147,699",2,NA,"Married, in a civil union or living with a partner","”PUBLIC ADMINISTRATION”","3","8","2","6","Right","Right","3","1","2","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","Green","Labour","Green","Labour","Voting can make a reasonable amount of difference to what happens","Labour"
"474",26,NA,"Often","Often",NA,"Yes, frequently",NA,"Yes, rarely",NA,NA,"8","0","7",NA,NA,NA,NA,"9","Mana Party","","Become a republic with an NZ head of state","More","More","Same as now","Much less","Same as now","More","Less","Same as now","More",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,"Yes, NZ First","Yes, Act","Yes, United Future","Yes, Maori Party",NA,NA,"","","Labour",57,"English","",NA,"University degree completed","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ147,700 or over",2,NA,"Married, in a civil union or living with a partner","”EDUCATION”","4","8","4","6","Right","8","8","Left","2","Once a year","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","Mana","Labour","Mana","Labour","Voting can make a big difference to what happens","Mana"
"475",18,NA,"Sometimes","Not at all","Sometimes","Yes, occasionally","No","No","No","No","4","8","5","3","Don't know","Don't know","Don't know","Don't know","National","","Retain Queen as head of state","More","More","Less","Same as now","Same as now","Same as now","Same as now","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,"Yes, NZ First helped form government after 2008 election","Yes, Act helped form government after 2008 election",NA,NA,NA,"No party for which I would never vote",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Don't know",43,"English","",NA,"University degree completed",NA,NA,NA,NA,NA,"At school, university, or other educational institution",NA,NA,"$NZ147,700 or over",2,NA,"Married, in a civil union or living with a partner","”CONSTRUCTION”","1","7","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","7","2-11 times a year",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a reasonable amount of difference to what happens","National"
"476",60,NA,NA,"Often",NA,"Yes, rarely","No","Yes, rarely","No","No","8","2","10","2","2","2","7","8","Green","","Become a republic with an NZ head of state","More","Same as now","Much less","Much less","Less","Same as now","Less","Much less","More",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First","Yes, Act",NA,NA,NA,NA,"","","Labour",80,"English","",NA,"University degree completed",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",NA,NA,"Divorced or separated","”ENTERTAINMENT AND REPAIR SERVICES”","4","Right","2","Right","Right","Right","6","3","2","Never","No religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Have no religious beliefs","NZ European",NA,NA,NA,NA,"",NA,"","Green","Labour","Green","Labour","Voting can make some difference to what happens","Green"
"477",7,NA,NA,NA,NA,"No","No","No","No","No","5","10","0","2","0","0","0","0","National","","Retain Queen as head of state","More","Same as now","Same as now","Same as now","More","Same as now","Same as now","Same as now","Same as now",NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,"Yes, Act helped form government after 2008 election",NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,"Yes, Green",NA,NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Labour",70,"English","",NA,"Secondary education to School Certificate or NCEA",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",2,NA,"Married, in a civil union or living with a partner","”COMMUNICATION”","Centre","Right","Don't know","Centre","Centre","Don't know","Don't know","Don't know","Right","Never",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"478",2,NA,"Often",NA,NA,"Yes, occasionally",NA,NA,NA,NA,"4","9","3","1","1","Don't know","3","Don't know","National","","Retain Queen as head of state","Same as now","More","Same as now","Don't know","Same as now","Don't know","More","Don't know","Same as now",NA,NA,"Yes, National helped form government after 2008 election","Yes, Greens helped form government after 2008 election",NA,NA,NA,"Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,"Yes, NZ First",NA,"Yes, United Future",NA,"Yes, Mana Party",NA,"","","Don't know",78,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,"Working part-time for pay or other income",NA,NA,NA,NA,NA,NA,"Don't know",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","Don't know","8","6","Don't know","Don't know","Don't know","Don't know","Don't know","7","2-11 times a year",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"",NA,"","National","National","National","National","Voting can make a big difference to what happens","National"
"479",8,NA,NA,"Often",NA,"Yes, occasionally","No","No","No","No","7","9","8","8","4","6","5","5","Another party","CONSERVATIVE","Don't know","Much more","Much more","Much more","Less","Same as now","Don't know","Same as now","Don't know","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,"Yes, Act",NA,NA,"Yes, Mana Party",NA,"","",NA,76,"English","",NA,"Primary school completed",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ20,001-$NZ28,899",NA,NA,"Widowed",NA,"7","Right","6","Centre","9","7","4","3","7","At least once a week",NA,"Anglican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"NZ European",NA,NA,NA,NA,"",NA,"","National","8","National","Conservative","Voting can make a big difference to what happens","National"
"480",63,NA,"Sometimes","Sometimes",NA,"Yes, rarely",NA,NA,NA,NA,"10","0","10","6","0","0","Don't know","Don't know","Labour","","Retain Queen as head of state","More","More","Same as now","Less","Same as now","Same as now","More","More","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,"Yes, Act helped form government after 2008 election","Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,"Yes, National",NA,NA,"Yes, Act","Yes, United Future",NA,"Yes, Mana Party",NA,"","","Green",73,"English","",NA,"Non-degree professional trade or technical tertiary qualification",NA,NA,NA,"Retired",NA,NA,NA,NA,"$NZ28,900-$NZ51,399",2,NA,"Married, in a civil union or living with a partner","”HEALTH”","Left","Centre","2","2","Right","Centre","Centre","Centre","Left","2-3 times a month",NA,NA,NA,"Catholic",NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious",NA,NA,NA,NA,"Other","AUSTRALIAN/EUROPEAN",NA,"","Labour","Labour","Labour","Labour","Voting can make a big difference to what happens","Labour"
"481",55,NA,"Rarely","Rarely","Not at all","Yes, occasionally","No","No","No","No","0","10","7","0","5","5","0","0","National","","Retain Queen as head of state","More","More","Much less","Same as now","More","Same as now","More","Less","Same as now",NA,NA,"Yes, National helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,"Yes, Labour",NA,NA,"Yes, NZ First",NA,"Yes, United Future","Yes, Maori Party","Yes, Mana Party",NA,"","","Green",39,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ51,400-$NZ76,099",2,NA,"Married, in a civil union or living with a partner","”BUSINESS AND REPAIR SERVICES”","Left","Right","7","1","8","2","1","1","Right","Never",NA,NA,"Presbyterian",NA,NA,NA,NA,NA,NA,NA,NA,"","Somewhat religious","NZ European",NA,NA,NA,NA,"","NZ European","","National","National","National","National","Voting can make a big difference to what happens","National"
"482",23,NA,"Rarely","Not at all","Not at all","Yes, rarely","No","No","No","No","5","3","5","5","2","5","Don't know","Don't know","Labour","","Don't know","More","More","Same as now","More","More","Less","More","Less","More",NA,"Yes, Labour helped form government after 2008 election","Yes, National helped form government after 2008 election",NA,NA,NA,"Yes, United Future helped form government after 2008 election","Yes, Maori Party helped form government after 2008 election",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Maori Party","Yes, Mana Party",NA,"","","Don't know",54,"English","",NA,"Non-degree professional trade or technical tertiary qualification","Working full-time for pay or other income",NA,NA,NA,NA,NA,NA,NA,"$NZ28,900-$NZ51,399",4,NA,"Married, in a civil union or living with a partner","”RETAIL TRADE”","Centre","Centre","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Centre","Never",NA,NA,NA,NA,"Methodist",NA,NA,NA,NA,NA,NA,"","Just not very religious","NZ European",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"Voting can make a reasonable amount of difference to what happens","Labour"
